timestamp,torso_angle,smoothed_torso_angle,hip_tilt_angle,shoulder_tilt_angle,neck_angle,visibility,state,rep_count,form_status,feedback
0,59.3,59.3,136.2,149.0,44.4,0.624,DOWN,0,FORM ISSUE,Lifting too high - lift shoulder blades only
33,56.2,57.7,133.3,148.5,41.1,0.632,DOWN,0,FORM ISSUE,Lifting too high - lift shoulder blades only
66,53.4,56.3,127.3,148.1,39.9,0.633,DOWN,0,FORM ISSUE,Lifting too high - lift shoulder blades only
100,49.9,54.7,119.4,146.5,37.9,0.636,CRUNCHING,0,FORM ISSUE,Lifting too high - lift shoulder blades only
133,48.2,53.4,116.3,144.6,36.8,0.637,CRUNCHING,0,FORM ISSUE,Lifting too high - lift shoulder blades only
166,47.7,52.4,115.8,143.5,36.9,0.639,CRUNCHING,0,FORM ISSUE,Lifting too high - lift shoulder blades only
200,47.4,51.7,117.1,142.6,35.7,0.641,CRUNCHING,0,FORM ISSUE,Lifting too high - lift shoulder blades only
233,46.6,49.9,115.8,142.2,34.9,0.648,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
266,46.5,48.5,115.1,141.6,37.1,0.652,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
300,46.0,47.5,115.1,141.3,36.5,0.659,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
333,45.6,46.9,114.1,140.6,35.1,0.668,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
366,45.9,46.5,114.7,140.6,35.3,0.677,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
400,46.0,46.3,114.6,140.6,34.5,0.687,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
433,45.7,46.0,114.2,140.4,34.1,0.697,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
466,45.1,45.8,113.5,139.0,30.9,0.705,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
500,44.4,45.5,112.4,138.2,25.7,0.715,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
533,44.4,45.3,111.3,137.4,19.1,0.724,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
566,44.8,45.2,111.4,137.5,18.0,0.731,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
600,45.5,45.1,110.5,138.4,14.3,0.739,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
633,46.2,45.2,111.2,138.6,14.6,0.748,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
666,47.2,45.4,110.6,138.3,13.0,0.758,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
700,47.6,45.7,110.6,139.4,13.3,0.769,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
733,47.5,46.2,110.5,138.8,9.9,0.781,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
766,47.4,46.6,105.6,135.9,5.5,0.794,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
800,47.0,46.9,102.6,133.7,1.4,0.807,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
833,46.4,47.1,98.6,130.9,3.3,0.819,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
866,45.7,47.0,96.8,130.2,3.7,0.829,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
900,43.1,46.4,92.0,128.1,8.7,0.836,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
933,41.6,45.5,91.7,127.6,9.3,0.839,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
966,38.7,44.3,88.9,124.4,15.7,0.838,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
1000,37.3,42.8,86.3,117.5,20.1,0.832,UP,0,FORM ISSUE,Lifting too high - lift shoulder blades only
1033,36.8,41.4,86.3,115.8,21.0,0.82,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1066,37.0,40.0,88.1,114.7,20.7,0.803,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1100,37.3,38.8,84.7,112.3,22.1,0.783,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1133,37.9,38.1,87.3,110.2,22.4,0.76,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1166,37.9,37.5,93.7,113.8,22.9,0.736,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1200,36.7,37.3,94.9,115.4,24.5,0.71,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1233,34.7,36.9,92.3,119.8,17.9,0.684,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1266,32.0,36.2,92.7,116.2,10.7,0.661,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1300,23.3,34.3,92.7,112.9,7.1,0.644,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1333,15.1,31.1,93.1,111.8,32.0,0.632,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1366,10.4,27.2,93.8,117.3,14.1,0.627,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1400,7.1,22.8,95.3,120.1,21.6,0.622,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1433,5.7,18.3,89.9,104.3,26.9,0.619,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1466,3.7,13.9,93.4,108.6,24.7,0.62,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1500,1.7,9.6,93.4,110.2,33.8,0.619,UP,0,FORM ISSUE,Don't pull neck - lead with chest
1533,0.9,6.4,79.7,110.4,39.3,0.611,RELEASING,0,FORM ISSUE,Keep hips grounded and level
1566,1.4,4.4,76.7,108.8,42.7,0.595,RELEASING,0,FORM ISSUE,Keep hips grounded and level
1600,0.3,3.0,79.6,112.0,61.0,0.574,RELEASING,0,FORM ISSUE,Keep hips grounded and level
1633,1.1,2.1,81.3,107.4,49.0,0.551,RELEASING,0,FORM ISSUE,Keep hips grounded and level
1666,2.9,1.7,79.7,110.0,40.5,0.527,DOWN,1,FORM ISSUE,Keep hips grounded and level
1700,,,,,,0.499,DOWN,1,LOW CONFIDENCE,Adjust camera view
1733,,,,,,0.471,DOWN,1,LOW CONFIDENCE,Adjust camera view
1766,,,,,,0.449,DOWN,1,LOW CONFIDENCE,Adjust camera view
1800,,,,,,0.429,DOWN,1,LOW CONFIDENCE,Adjust camera view
1833,,,,,,0.409,DOWN,1,LOW CONFIDENCE,Adjust camera view
