timestamp,knee_angle,hip_angle,visibility,label
42633,177.1,168.8,0.536,unlabeled
42666,176.0,165.4,0.573,unlabeled
42700,174.4,164.0,0.602,unlabeled
42733,173.7,164.0,0.634,unlabeled
42766,174.6,164.8,0.66,unlabeled
42800,174.6,163.8,0.681,unlabeled
42833,173.6,163.9,0.703,unlabeled
42866,179.6,176.2,0.696,unlabeled
42900,179.8,166.9,0.712,unlabeled
42933,178.8,175.6,0.689,unlabeled
42966,179.4,169.5,0.697,unlabeled
43000,179.9,174.5,0.707,unlabeled
43033,177.4,177.3,0.715,unlabeled
43066,176.8,172.6,0.71,unlabeled
43100,175.3,173.2,0.706,unlabeled
43133,178.7,175.3,0.703,unlabeled
43166,175.1,172.4,0.701,unlabeled
43200,176.7,173.9,0.703,unlabeled
43233,176.0,173.0,0.712,unlabeled
43266,177.6,174.7,0.719,unlabeled
43300,178.0,174.6,0.717,unlabeled
43333,178.1,175.4,0.699,unlabeled
43366,178.9,175.0,0.69,unlabeled
43400,176.8,173.2,0.682,unlabeled
43433,177.4,171.8,0.683,unlabeled
43466,177.6,173.0,0.697,unlabeled
43500,177.4,173.6,0.709,unlabeled
43533,176.7,172.7,0.713,unlabeled
43566,176.5,172.9,0.723,unlabeled
43600,178.0,171.7,0.734,unlabeled
43633,178.4,170.7,0.745,unlabeled
43666,177.5,170.7,0.748,unlabeled
43700,178.9,170.8,0.75,unlabeled
43733,179.7,170.1,0.75,unlabeled
43766,178.4,167.9,0.755,unlabeled
43800,177.6,166.2,0.75,unlabeled
43833,179.5,170.1,0.743,unlabeled
43866,179.4,173.3,0.734,unlabeled
43900,179.9,173.7,0.729,unlabeled
43933,179.9,173.4,0.726,unlabeled
43966,179.5,173.6,0.716,unlabeled
44000,179.4,170.4,0.693,unlabeled
44033,179.7,176.1,0.687,unlabeled
44066,168.8,160.5,0.674,unlabeled
44100,172.7,165.1,0.653,unlabeled
44133,172.6,166.7,0.631,unlabeled
44166,168.8,163.4,0.608,unlabeled
44200,167.0,163.7,0.585,unlabeled
44233,179.5,177.2,0.562,unlabeled
44266,174.0,173.5,0.548,unlabeled
44300,174.0,172.3,0.536,unlabeled
44333,179.3,173.1,0.529,unlabeled
44366,176.2,171.6,0.508,unlabeled
49100,173.8,164.1,0.529,unlabeled
49133,171.6,161.8,0.559,unlabeled
49166,180.0,173.6,0.577,unlabeled
49200,176.7,169.2,0.591,unlabeled
49233,179.7,169.4,0.599,unlabeled
49266,178.5,168.6,0.618,unlabeled
49300,178.4,170.6,0.633,unlabeled
49333,176.2,171.1,0.659,unlabeled
49366,178.0,173.8,0.67,unlabeled
49400,177.2,173.3,0.676,unlabeled
49433,178.9,173.7,0.686,unlabeled
49466,178.8,173.9,0.695,unlabeled
