timestamp,step_index,step_name,cycle_count,detected_pose,torso_angle,avg_knee_angle,avg_hip_angle,avg_elbow_angle,avg_shoulder_angle,shoulder_symmetry,hip_symmetry,lead_leg,visibility,form_status,feedback
0,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.063,LOW CONFIDENCE,Adjust camera angle
33,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.063,LOW CONFIDENCE,Adjust camera angle
66,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.064,LOW CONFIDENCE,Adjust camera angle
100,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.065,LOW CONFIDENCE,Adjust camera angle
133,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.066,LOW CONFIDENCE,Adjust camera angle
166,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.066,LOW CONFIDENCE,Adjust camera angle
200,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.067,LOW CONFIDENCE,Adjust camera angle
233,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.066,LOW CONFIDENCE,Adjust camera angle
266,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.066,LOW CONFIDENCE,Adjust camera angle
300,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.064,LOW CONFIDENCE,Adjust camera angle
333,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.063,LOW CONFIDENCE,Adjust camera angle
366,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.061,LOW CONFIDENCE,Adjust camera angle
400,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.06,LOW CONFIDENCE,Adjust camera angle
433,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.06,LOW CONFIDENCE,Adjust camera angle
466,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.059,LOW CONFIDENCE,Adjust camera angle
500,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.058,LOW CONFIDENCE,Adjust camera angle
533,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.057,LOW CONFIDENCE,Adjust camera angle
566,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.056,LOW CONFIDENCE,Adjust camera angle
600,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.055,LOW CONFIDENCE,Adjust camera angle
633,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.053,LOW CONFIDENCE,Adjust camera angle
666,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.052,LOW CONFIDENCE,Adjust camera angle
700,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.05,LOW CONFIDENCE,Adjust camera angle
733,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.049,LOW CONFIDENCE,Adjust camera angle
766,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.047,LOW CONFIDENCE,Adjust camera angle
800,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.047,LOW CONFIDENCE,Adjust camera angle
833,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.048,LOW CONFIDENCE,Adjust camera angle
866,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.05,LOW CONFIDENCE,Adjust camera angle
900,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.053,LOW CONFIDENCE,Adjust camera angle
933,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.056,LOW CONFIDENCE,Adjust camera angle
966,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.065,LOW CONFIDENCE,Adjust camera angle
1000,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.073,LOW CONFIDENCE,Adjust camera angle
1033,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.08,LOW CONFIDENCE,Adjust camera angle
1066,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.087,LOW CONFIDENCE,Adjust camera angle
1100,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.094,LOW CONFIDENCE,Adjust camera angle
1133,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.1,LOW CONFIDENCE,Adjust camera angle
1166,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.102,LOW CONFIDENCE,Adjust camera angle
1200,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.103,LOW CONFIDENCE,Adjust camera angle
1233,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.101,LOW CONFIDENCE,Adjust camera angle
1266,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.099,LOW CONFIDENCE,Adjust camera angle
1300,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.096,LOW CONFIDENCE,Adjust camera angle
1333,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.091,LOW CONFIDENCE,Adjust camera angle
1366,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.086,LOW CONFIDENCE,Adjust camera angle
1400,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.082,LOW CONFIDENCE,Adjust camera angle
1433,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.083,LOW CONFIDENCE,Adjust camera angle
1466,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.092,LOW CONFIDENCE,Adjust camera angle
1500,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.111,LOW CONFIDENCE,Adjust camera angle
1533,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.139,LOW CONFIDENCE,Adjust camera angle
1566,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.175,LOW CONFIDENCE,Adjust camera angle
1600,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.216,LOW CONFIDENCE,Adjust camera angle
1633,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.261,LOW CONFIDENCE,Adjust camera angle
1666,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.308,LOW CONFIDENCE,Adjust camera angle
1700,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.352,LOW CONFIDENCE,Adjust camera angle
1733,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.394,LOW CONFIDENCE,Adjust camera angle
1766,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.434,LOW CONFIDENCE,Adjust camera angle
1800,1,Pranamasana,0,LOW CONFIDENCE,,,,,,,,NONE,0.473,LOW CONFIDENCE,Adjust camera angle
1833,1,Pranamasana,0,Pranamasana,0.9,176.8,172.6,176.5,13.7,0.0107,0.0062,NONE,0.509,TRANSITION,"Stand tall, palms together at chest"
1866,1,Pranamasana,0,Pranamasana,0.4,176.6,172.4,175.7,13.6,0.0034,0.0061,NONE,0.54,TRANSITION,"Stand tall, palms together at chest"
1900,1,Pranamasana,0,Pranamasana,0.0,176.8,172.4,175.6,13.4,0.0033,0.0059,NONE,0.567,TRANSITION,"Stand tall, palms together at chest"
1933,1,Pranamasana,0,Pranamasana,0.1,177.5,173.1,175.9,11.8,0.0046,0.0056,NONE,0.59,TRANSITION,"Stand tall, palms together at chest"
1966,1,Pranamasana,0,Pranamasana,0.1,177.6,173.0,175.6,12.8,0.0038,0.0052,NONE,0.609,GOOD,Good prayer alignment
2000,1,Pranamasana,0,Pranamasana,0.6,177.8,173.3,175.2,12.5,0.0057,0.0039,NONE,0.629,GOOD,Good prayer alignment
2033,1,Pranamasana,0,Pranamasana,0.7,178.3,173.1,174.2,14.3,0.01,0.0041,NONE,0.647,GOOD,Good prayer alignment
2066,1,Pranamasana,0,Pranamasana,1.3,178.8,173.2,173.8,13.5,0.0076,0.004,NONE,0.666,GOOD,Good prayer alignment
2100,1,Pranamasana,0,Pranamasana,1.0,179.1,173.2,173.7,12.9,0.0075,0.0032,NONE,0.686,GOOD,Good prayer alignment
2133,1,Pranamasana,0,Pranamasana,2.0,179.0,173.6,173.6,12.8,0.0102,0.0003,NONE,0.708,GOOD,Good prayer alignment
2166,1,Pranamasana,0,Pranamasana,1.8,179.0,173.2,174.1,13.1,0.011,0.0001,NONE,0.73,GOOD,Good prayer alignment
2200,2,Hasta Uttanasana,0,Hasta Uttanasana,1.5,179.1,173.2,174.9,12.9,0.0109,0.0007,NONE,0.752,GOOD,Good prayer alignment
2233,2,Hasta Uttanasana,0,Hasta Uttanasana,1.4,179.1,173.7,176.2,12.7,0.0093,0.0008,NONE,0.772,TRANSITION,Reach arms overhead and arch back gently
2266,2,Hasta Uttanasana,0,Hasta Uttanasana,1.4,179.0,173.5,177.4,12.3,0.0074,0.0002,NONE,0.791,TRANSITION,Reach arms overhead and arch back gently
2300,2,Hasta Uttanasana,0,Hasta Uttanasana,0.7,179.2,173.9,178.1,12.5,0.0063,0.0004,NONE,0.809,TRANSITION,Reach arms overhead and arch back gently
2333,2,Hasta Uttanasana,0,Hasta Uttanasana,0.6,179.2,174.5,178.6,12.7,0.0078,0.0003,NONE,0.826,TRANSITION,Reach arms overhead and arch back gently
2366,2,Hasta Uttanasana,0,Hasta Uttanasana,0.0,179.3,174.9,178.8,12.3,0.0042,0.0002,NONE,0.842,TRANSITION,Reach arms overhead and arch back gently
2400,2,Hasta Uttanasana,0,Hasta Uttanasana,0.6,179.2,174.6,178.8,12.8,0.0038,0.0008,NONE,0.855,TRANSITION,Reach arms overhead and arch back gently
